timesteps,mean_return,std_return,min_return,max_return,mean_steps,mean_speed
0,0.00012459951052301577,0.0,0.00012459951052301577,0.00012459951052301577,500.0,2.491990210460315e-07
25000,1.202301548018622,0.0,1.202301548018622,1.202301548018622,500.0,0.002404603096037244
50000,2.5017586697914798,0.0,2.5017586697914798,2.5017586697914798,500.0,0.00500351733958296
75000,2.8556245894037224,0.0,2.8556245894037224,2.8556245894037224,500.0,0.005711249178807445
100000,2.965483595170945,0.0,2.965483595170945,2.965483595170945,500.0,0.0059309671903418895
100352,2.9920546577843097,0.0,2.9920546577843097,2.9920546577843097,500.0,0.0059841093155686195
125000,2.8674218724496994,0.0,2.8674218724496994,2.8674218724496994,500.0,0.005734843744899399
150000,2.9893476551147264,0.0,2.9893476551147264,2.9893476551147264,500.0,0.005978695310229453
175000,0.07012720600865185,0.0,0.07012720600865185,0.07012720600865185,500.0,0.00014025441201730371
200000,3.2249564819222583,0.0,3.2249564819222583,3.2249564819222583,500.0,0.006449912963844518
225000,3.3232398944677994,4.440892098500626e-16,3.3232398944678,3.3232398944678,500.0,0.006646479788935599
250000,3.268131190919173,0.0,3.268131190919173,3.268131190919173,500.0,0.006536262381838345
275000,3.5072933510176525,4.440892098500626e-16,3.507293351017653,3.507293351017653,500.0,0.0070145867020353055
300000,3.2588088157588233,4.440892098500626e-16,3.258808815758823,3.258808815758823,500.0,0.006517617631517645
301056,3.379736315844448,4.440892098500626e-16,3.3797363158444473,3.3797363158444473,500.0,0.0067594726316888955
