episode,return,loss
0,-0.008994468154457591,-2.8688926696777344
1,0.12021609271219547,17.149673461914062
2,0.0861846428739026,-9.006058692932129
3,0.0019345156365488947,-12.9834623336792
4,0.03467025640350335,-47.400638580322266
5,-0.02323098829933451,-2.128085136413574
6,0.030174749266627554,-33.63230514526367
7,0.05041461607854458,2.000871181488037
8,0.05816811485708223,-11.705102920532227
9,0.034946985033468936,38.726287841796875
10,0.05674952739477901,36.273441314697266
11,0.051235848382369165,-57.74694061279297
12,-0.06932626350098908,-34.643226623535156
13,0.06210364519558437,60.644737243652344
14,-0.08344790211313086,31.965999603271484
15,-0.0011882629366939401,5.6357035636901855
16,0.15200876204621105,3.559732437133789
17,-0.09007512623350555,-58.67024230957031
18,-0.001105777353012094,-0.17310810089111328
19,0.11847387083319172,-9.324384689331055
20,0.025107945652577346,9.193522453308105
21,0.1778995753416459,-11.3661527633667
22,-0.06649416772421618,2.246924877166748
23,-0.06688121045868861,26.3341064453125
24,-0.025419773517617317,2.301609992980957
25,-0.03694561826163639,22.381471633911133
26,0.002194741943511269,-1.0944890975952148
27,0.092198645218663,-11.048185348510742
28,-0.05739339729115256,11.218941688537598
29,-0.06026713026618785,-37.7778205871582
30,0.03413072838571385,-7.357027053833008
31,0.0008242528101562452,8.321775436401367
32,0.06978876852445598,-5.1204423904418945
33,0.0577113790542918,-40.92474365234375
34,-0.13616851791058318,-5.676346778869629
35,0.006794185881887127,-4.469171047210693
36,0.044446977084720896,-39.735286712646484
37,0.09184651269243355,9.190753936767578
38,0.09565378655886986,35.305660247802734
39,0.014472252975067712,24.424314498901367
40,0.024249657971186833,-42.519752502441406
41,0.05086973545852208,-37.62687683105469
42,0.20205802927128302,44.61881637573242
43,0.17188427758704294,18.010759353637695
44,0.08479703260900168,27.762603759765625
45,0.15198031402481849,10.198339462280273
46,0.13769196159765623,28.74732780456543
47,0.01988352011968253,-29.12955665588379
48,-0.062266123085106484,-28.601688385009766
49,0.06228343139214454,45.50908279418945
50,-0.01320710829725713,-47.80949020385742
51,0.18158076469431517,-35.411964416503906
52,-0.05076776599489119,-4.068286895751953
53,0.06805502205335529,-43.12053680419922
54,0.10276425587496818,-7.808856010437012
55,-0.05177620977932651,5.769810676574707
56,-0.07853066500561012,-10.563724517822266
57,0.02753030748954899,-21.05097007751465
58,0.12488710488443466,-73.91400146484375
59,0.054683219097565905,14.340219497680664
60,0.02377503065959108,40.494178771972656
61,0.07488632853860255,-7.440385818481445
62,0.04560788520377701,-42.08966064453125
63,-0.02243789340465807,-2.882500648498535
64,0.08264471983868021,-27.7071475982666
65,0.042798518376723604,1.2514076232910156
66,0.03178922636954884,17.606338500976562
67,0.08774231165702684,6.091419219970703
68,0.05718574029026763,-6.549137115478516
69,0.15156418275624406,46.57577133178711
70,0.03470393745696071,7.979022026062012
71,-0.024295577583725192,4.777483940124512
72,0.030598786984855464,9.759696006774902
73,0.06462260928943508,-32.062164306640625
74,0.16674140688971673,1.6193974018096924
75,0.18507710603307959,-30.618738174438477
76,0.112549077325103,8.935951232910156
77,0.046632243261237494,49.93693542480469
78,0.059052614981667806,10.590291976928711
79,-0.05276743145753704,22.08443832397461
80,0.01791071970265279,42.102806091308594
81,-0.01755878134919231,10.983159065246582
82,0.09604357885006731,-3.275355815887451
83,0.11692876484069537,45.60221481323242
84,0.0030070023855454653,-20.166507720947266
85,-0.11304829564225888,-21.50271224975586
86,0.003010818069293486,-0.49669647216796875
87,0.19267180928503913,16.603626251220703
88,-0.03940373289175908,-1.6330111026763916
89,0.20215413877141852,-12.161233901977539
90,0.07018435134236206,-24.41533851623535
91,0.04546547194912104,-16.02373695373535
92,0.11566930862747332,8.195572853088379
93,0.09959377506725264,9.880077362060547
94,-0.0073779453639172266,-38.27440643310547
95,0.202712047306857,37.41160202026367
96,0.07305418733637759,-59.048377990722656
97,0.15319931690199784,25.309001922607422
98,0.16350726102681645,-39.97311019897461
99,0.03572664295341571,-7.370573043823242
100,0.19166867994835646,-12.939471244812012
101,0.028376808786597763,-2.0217654705047607
102,0.10317405665205759,-33.27021408081055
103,0.056826121238986005,31.553924560546875
104,-0.04293545880260269,-30.53162384033203
105,-0.07152653916606455,-2.4966163635253906
106,0.21563585833293986,-0.593285083770752
107,0.07962041404659881,40.413063049316406
108,-0.05640461510827566,-5.550910949707031
109,0.07840582770878196,-31.348020553588867
110,0.20940248203698053,-10.489766120910645
111,0.10138822367366523,-6.9487104415893555
112,-0.025424586069836552,-61.05973815917969
113,0.060022335739927435,-0.6651649475097656
114,0.15158043562083268,14.489336013793945
115,0.20341746162321328,-11.39777660369873
116,0.11097608831459138,15.913068771362305
117,0.14530822947848532,-43.52558135986328
118,0.09769808768021432,52.58551025390625
119,0.2470259607617703,-96.13914489746094
