timesteps,mean_return,std_return,mean_steps,mean_displacement,mean_speed,mean_final_x,mean_max_x,mean_obstacles_cleared,mean_obstacle_fraction,success_rate
0,8.209624088347454,0.0,1600.0,0.6807859575865307,0.0004254912234915817,1.1307859575865307,1.1365921154579448,0.0,0.0,0.0
5000,8.79902096779236,0.0,1600.0,0.6761062485381834,0.00042256640533636466,1.1261062485381834,1.1362083611108398,0.0,0.0,0.0
10000,7.639048875327512,0.0,1600.0,0.6783236177299926,0.00042395226108124534,1.1283236177299925,1.1400652242875493,0.0,0.0,0.0
15000,9.343302351674557,0.0,1600.0,0.669284084556478,0.00041830255284779874,1.119284084556478,1.1417187155819368,0.0,0.0,0.0
20000,11.360209989833194,0.0,1600.0,0.658968325274103,0.00041185520329631444,1.108968325274103,1.185132289986275,0.0,0.0,0.0
25000,11.792007001505121,1.7763568394002505e-15,1600.0,0.6607493913811093,0.0004129683696131933,1.1107493913811093,1.193590706890442,0.0,0.0,0.0
30000,11.98571111493902,0.0,1600.0,0.6679483037875252,0.0004174676898672032,1.117948303787525,1.1850347675771553,0.0,0.0,0.0
35000,8.80323182255557,0.0,1600.0,0.6663056070603051,0.0004164410044126907,1.116305607060305,1.1437866732431659,0.0,0.0,0.0
40000,7.520749867374701,8.881784197001252e-16,1600.0,0.6816928079045059,0.0004260580049403162,1.1316928079045059,1.143022630825206,0.0,0.0,0.0
45000,10.940517170756388,1.7763568394002505e-15,1600.0,0.6672197633829144,0.0004170123521143215,1.1172197633829144,1.1674611803522426,0.0,0.0,0.0
50000,17.893544704457216,0.0,1600.0,0.6701328784694874,0.0004188330490434296,1.1201328784694873,1.221289082559992,0.0,0.0,0.0
55000,18.654905962053128,0.0,1600.0,0.6626301249879218,0.00041414382811745114,1.1126301249879218,1.249022547458318,0.0,0.0,0.0
60000,13.856670039220361,0.0,1600.0,0.6740877441934474,0.00042130484012090465,1.1240877441934474,1.1833834382934614,0.0,0.0,0.0
65000,18.550287729645,0.0,1600.0,0.6676455450978608,0.0004172784656861629,1.1176455450978606,1.2416373909812013,0.0,0.0,0.0
70000,14.100210259251448,0.0,1600.0,0.6755450318628219,0.00042221564491426374,1.125545031862822,1.1536164183935271,0.0,0.0,0.0
75000,14.681757164226267,0.0,1600.0,0.663984580822119,0.00041499036301382436,1.113984580822119,1.1750859215172973,0.0,0.0,0.0
80000,17.82948405339773,0.0,1600.0,0.6784281305981225,0.00042401758162382663,1.1284281305981225,1.216596959915827,0.0,0.0,0.0
85000,9.523976190041822,0.0,1600.0,0.6684251652759254,0.0004177657282974534,1.1184251652759254,1.1697681361181929,0.0,0.0,0.0
90000,12.991817837774533,0.0,1600.0,0.6961609640033674,0.0004351006025021047,1.1461609640033674,1.1704830776412216,0.0,0.0,0.0
95000,17.467495427387274,0.0,1600.0,0.6383511146590579,0.0003989694466619112,1.0883511146590579,1.2676988380428795,0.0,0.0,0.0
100000,14.136980159825283,0.0,1600.0,0.6964691190340431,0.0004352931993962769,1.146469119034043,1.223141301160244,0.0,0.0,0.0
105000,8.544199776335505,0.0,1600.0,0.5538188274076261,0.0003461367671297663,1.003818827407626,1.1603255414747762,0.0,0.0,0.0
110000,23.28373104966595,3.552713678800501e-15,1600.0,0.5331052597700967,0.00033319078735631044,0.9831052597700968,1.3020306275900124,0.0,0.0,0.0
115000,19.28581973387938,0.0,1600.0,0.6424754531560715,0.00040154715822254464,1.0924754531560714,1.2465438818246521,0.0,0.0,0.0
120000,13.107865290877086,0.0,1600.0,0.6250577854169601,0.00039066111588560004,1.07505778541696,1.1983593695751455,0.0,0.0,0.0
125000,12.714692472122119,1.7763568394002505e-15,1600.0,0.7370611036893528,0.0004606631898058455,1.1870611036893528,1.187255416062187,0.0,0.0,0.0
130000,13.558548898052512,1.7763568394002505e-15,1600.0,0.7211295188161198,0.00045070594926007487,1.1711295188161197,1.2049115733707136,0.0,0.0,0.0
135000,7.293547958048635,0.0,1600.0,0.5870001812034877,0.00036687511325217984,1.0370001812034877,1.1643517194398878,0.0,0.0,0.0
140000,10.14768011480467,0.0,1600.0,0.6304622367207053,0.0003940388979504408,1.0804622367207053,1.1788917252998103,0.0,0.0,0.0
145000,17.96587545103191,0.0,1600.0,0.6366154452813619,0.00039788465330085123,1.086615445281362,1.22438245368318,0.0,0.0,0.0
150000,14.751151515591081,0.0,1600.0,0.6571911887774435,0.00041074449298590215,1.1071911887774435,1.2196881979606022,0.0,0.0,0.0
151552,13.282702091334343,0.0,1600.0,0.6682364780913628,0.00041764779880710173,1.1182364780913627,1.2019187978917534,0.0,0.0,0.0
