timesteps,mean_return,std_return,mean_steps,mean_displacement,mean_speed,mean_final_x,mean_max_x,mean_obstacles_cleared,mean_obstacle_fraction,success_rate
0,22.049285737891257,0.0,1600.0,0.8144213483549203,0.0005090133427218252,1.2644213483549203,1.314801503577657,0.0,0.0,0.0
5000,31.281115750083952,0.0,1600.0,0.7354374144220094,0.0004596483840137559,1.1854374144220095,1.3865934128029709,0.0,0.0,0.0
10000,21.69684737070359,0.0,1600.0,0.6359704316337775,0.00039748151977111096,1.0859704316337775,1.3579065467419966,0.0,0.0,0.0
15000,12.486797689054734,0.0,1600.0,0.3724769720708611,0.00023279810754428822,0.8224769720708611,1.1836304417285521,0.0,0.0,0.0
20000,11.821794354221451,0.0,1600.0,0.4562337212030972,0.00028514607575193577,0.9062337212030972,1.257154002791652,0.0,0.0,0.0
25000,13.485709239926786,0.0,1600.0,0.37419657586624516,0.00023387285991640323,0.8241965758662452,1.2194179753060181,0.0,0.0,0.0
30000,26.421029054424213,3.552713678800501e-15,1600.0,0.5977055874067219,0.0003735659921292012,1.0477055874067218,1.3287803756735894,0.0,0.0,0.0
35000,27.08554292656358,0.0,1600.0,0.43422246790780045,0.00027138904244237527,0.8842224679078005,1.3953544492183554,0.0,0.0,0.0
40000,19.374818140717213,0.0,1600.0,0.7758566134165328,0.00048491038338533305,1.2258566134165327,1.3480220293107539,0.0,0.0,0.0
45000,121.95077600926827,0.0,1600.0,1.353417370933873,0.0008458858568336705,1.8034173709338728,1.8830446872517033,1.0,0.5,0.0
50000,19.27794652911798,0.0,1600.0,0.7541699101561266,0.0004713561938475791,1.2041699101561265,1.3475734539334656,0.0,0.0,0.0
55000,27.980371629565514,0.0,1600.0,0.5002555565597402,0.0003126597228498376,0.9502555565597403,1.3867822183642435,0.0,0.0,0.0
60000,16.787549676143037,0.0,1600.0,0.7247477961672416,0.00045296737260452593,1.1747477961672415,1.30975635939361,0.0,0.0,0.0
65000,17.03805041341463,0.0,1600.0,0.7243787154235597,0.0004527366971397248,1.1743787154235596,1.3090600352878992,0.0,0.0,0.0
70000,16.900891209614674,0.0,1600.0,0.737539989812601,0.0004609624936328756,1.187539989812601,1.3097864209660646,0.0,0.0,0.0
