timesteps,mean_return,std_return,mean_steps,mean_displacement,mean_speed,mean_final_x,mean_max_x,mean_obstacles_cleared,mean_obstacle_fraction,success_rate
0,35.60332028318174,0.0,1600.0,0.744120585671332,0.0004650753660445825,1.194120585671332,1.410298464120406,0.0,0.0,0.0
5000,30.346313828544936,0.0,1600.0,0.8039076534065135,0.0005024422833790709,1.2539076534065134,1.386178277485638,0.0,0.0,0.0
10000,21.73246653704612,0.0,1600.0,0.6408287417747955,0.0004005179636092472,1.0908287417747955,1.3577873783794203,0.0,0.0,0.0
15000,20.556028433676175,0.0,1600.0,0.4925665365824439,0.00030785408536402746,0.9425665365824439,1.3364320079410472,0.0,0.0,0.0
20000,8.223882342582279,0.0,1600.0,0.4670507882462955,0.0002919067426539347,0.9170507882462955,1.1926438471952217,0.0,0.0,0.0
25000,14.506119686513683,0.0,1600.0,0.36250078564823346,0.00022656299103014592,0.8125007856482335,1.2261552422196793,0.0,0.0,0.0
30000,36.21779483265674,0.0,1600.0,0.7290434573943978,0.0004556521608714986,1.1790434573943978,1.4203164604436378,0.0,0.0,0.0
35000,31.7225045179204,0.0,1600.0,0.4602077786217024,0.000287629861638564,0.9102077786217024,1.391499753019618,0.0,0.0,0.0
40000,19.34162965767029,0.0,1600.0,0.7699808649275864,0.0004812380405797416,1.2199808649275865,1.3479978935152586,0.0,0.0,0.0
45000,229.41937634670288,0.0,461.0,1.8635194616183781,0.004042341565332707,2.313519461618378,2.3143690178220724,2.0,1.0,1.0
50000,17.287153247658864,0.0,1600.0,0.7068701886898457,0.00044179386793115355,1.1568701886898456,1.3101686095355898,0.0,0.0,0.0
55000,26.116380126576512,0.0,1600.0,0.5465677452036448,0.00034160484075227804,0.9965677452036448,1.3749170113047613,0.0,0.0,0.0
60000,11.735133743667184,0.0,1600.0,0.7372080558822084,0.0004607550349263802,1.1872080558822082,1.2569139779256358,0.0,0.0,0.0
65000,17.044757366073615,0.0,1600.0,0.7231892862649798,0.0004519933039156124,1.1731892862649798,1.3084841115481927,0.0,0.0,0.0
70000,16.871761499683892,0.0,1600.0,0.7371237542556202,0.0004607023464097626,1.1871237542556201,1.30892783008969,0.0,0.0,0.0
