timesteps,mean_return,std_return,min_return,max_return,mean_steps,mean_speed
0,0.008007558007745885,0.0,0.008007558007745885,0.008007558007745885,500.0,1.601511601549177e-05
25000,0.06091860633222845,0.0,0.06091860633222845,0.06091860633222845,500.0,0.0001218372126644569
50000,0.3561854103774315,0.0,0.3561854103774315,0.3561854103774315,500.0,0.000712370820754863
75000,2.810319904979039,0.0,2.810319904979039,2.810319904979039,500.0,0.005620639809958078
100000,4.378130782971838,0.0,4.378130782971838,4.378130782971838,500.0,0.008756261565943677
100352,4.3938735374159235,0.0,4.3938735374159235,4.3938735374159235,500.0,0.008787747074831848
125000,4.129249230189621,0.0,4.129249230189621,4.129249230189621,500.0,0.008258498460379241
150000,4.327573645906009,0.0,4.327573645906009,4.327573645906009,500.0,0.008655147291812017
175000,4.256375456156027,0.0,4.256375456156027,4.256375456156027,500.0,0.008512750912312054
200000,5.21328337570563,0.0,5.21328337570563,5.21328337570563,500.0,0.01042656675141126
225000,5.2184942978204765,0.0,5.2184942978204765,5.2184942978204765,500.0,0.010436988595640953
250000,5.068015193739719,0.0,5.068015193739719,5.068015193739719,500.0,0.010136030387479438
275000,4.710753688018763,0.0,4.710753688018763,4.710753688018763,500.0,0.009421507376037527
300000,5.296541066086855,0.0,5.296541066086855,5.296541066086855,500.0,0.01059308213217371
301056,5.143913594072293,0.0,5.143913594072293,5.143913594072293,500.0,0.010287827188144586
