body,phase,phase_timesteps,lineage_timesteps,mean_return,std_return,min_return,max_return,mean_steps,mean_displacement,mean_speed,mean_final_x,mean_max_x,mean_obstacles_cleared,mean_obstacle_fraction,success_rate
Layered body (10 actuators),movable_training_v5_rechecked,0,0,5.738237941216888,0.0,5.738237941216888,5.738237941216888,1200.0,0.5361112372817864,0.0004467593644014887,0.9861112372817864,2.819357556452651,2.0,0.2857142857142857,0.0
Layered body (10 actuators),movable_training_v5_rechecked,5000,5000,2.2490585834272174,0.0,2.2490585834272174,2.2490585834272174,1200.0,-0.2470496236368585,-0.00020587468636404875,0.2029503763631415,1.8495097198426145,1.0,0.14285714285714285,0.0
Layered body (10 actuators),movable_training_v5_rechecked,10000,10000,1.7091948200083822,0.0,1.7091948200083822,1.7091948200083822,1200.0,0.7867900689715612,0.0006556583908096344,1.2367900689715612,1.3866647893357698,0.0,0.0,0.0
Layered body (10 actuators),movable_training_v5_rechecked,15000,15000,1.5264655142818795,0.0,1.5264655142818795,1.5264655142818795,1200.0,0.5503566784093246,0.0004586305653411038,1.0003566784093245,1.3717481797559339,0.0,0.0,0.0
Layered body (10 actuators),movable_training_v5_rechecked,20000,20000,3.694768862408547,0.0,3.694768862408547,3.694768862408547,1200.0,0.7744187190370302,0.0006453489325308585,1.2244187190370301,2.426439026670211,1.0,0.14285714285714285,0.0
Layered body (10 actuators),movable_training_v5_rechecked,25000,25000,0.8463096076332295,0.0,0.8463096076332295,0.8463096076332295,1200.0,-0.21931194927856854,-0.00018275995773214045,0.23068805072143148,1.3743350391140243,0.0,0.0,0.0
Layered body (10 actuators),movable_training_v5_rechecked,30000,30000,4.07367104742802,0.0,4.07367104742802,4.07367104742802,1200.0,1.4939758451475402,0.0012449798709562834,1.9439758451475402,2.0015086731420006,1.0,0.14285714285714285,0.0
Layered body (10 actuators),movable_training_v5_rechecked,35000,35000,1.8321979628924898,0.0,1.8321979628924898,1.8321979628924898,1200.0,0.7714044203912285,0.0006428370169926904,1.2214044203912284,1.3876696538574205,0.0,0.0,0.0
Layered body (10 actuators),movable_training_v5_rechecked,40000,40000,8.767419984034515,0.0,8.767419984034515,8.767419984034515,1200.0,2.878380128846779,0.002398650107372316,3.328380128846779,3.395967490144898,2.0,0.2857142857142857,0.0
Layered body (10 actuators),com_clearance_finetune_v6,5000,45000,4.615397625074035,0.0,4.615397625074035,4.615397625074035,1200.0,1.541660185670164,0.0012847168213918033,1.991660185670164,2.1908535968724068,1.0,0.14285714285714285,0.0
Layered body (10 actuators),com_clearance_finetune_v6,10000,50000,6.246027003211263,8.881784197001252e-16,6.246027003211262,6.246027003211262,1200.0,1.4376529893574912,0.0011980441577979096,1.8876529893574914,3.053334496923771,2.0,0.2857142857142857,0.0
Layered body (10 actuators),com_clearance_finetune_v6,15000,55000,7.025633059902016,8.881784197001252e-16,7.025633059902015,7.025633059902015,1200.0,1.3472896962110588,0.0011227414135092156,1.7972896962110587,2.938923237104536,2.0,0.2857142857142857,0.0
Layered body (10 actuators),com_clearance_finetune_v6,20000,60000,-0.09789711807957062,1.3877787807814457e-17,-0.0978971180795706,-0.0978971180795706,1200.0,-0.5752221393857442,-0.0004793517828214535,-0.12522213938574414,1.4195013378632566,0.0,0.0,0.0
Layered body (10 actuators),com_clearance_finetune_v6,25000,65000,4.890511330516216,0.0,4.890511330516216,4.890511330516216,1200.0,1.2550554340329587,0.001045879528360799,1.7050554340329587,2.435865686346258,1.0,0.14285714285714285,0.0
Layered body (10 actuators),com_clearance_finetune_v6,30000,70000,4.1805846776884765,0.0,4.1805846776884765,4.1805846776884765,1200.0,0.9594342206658122,0.0007995285172215102,1.4094342206658121,2.5078176526788107,1.0,0.14285714285714285,0.0
