group,avg_return,avg_loss
0,0.19802884732649398,4.5061750411987305
1,0.1957869143467158,11.51491928100586
2,0.2088600794802452,38.09974670410156
3,0.2280258885171209,5.127941131591797
4,0.2234571481329938,11.3587646484375
5,0.2160045998760572,2.908501625061035
6,0.22726358049845202,15.783205032348633
7,0.2292537671595254,32.8174934387207
8,0.22106958433361074,22.657489776611328
9,0.22911880675403157,15.864296913146973
10,0.21976209785060297,-5.5534844398498535
11,0.24730834789231157,5.699526786804199
12,0.2372068109357497,-4.394194602966309
13,0.21250751545448798,-2.631047248840332
14,0.2401624408883295,3.9705967903137207
15,0.22787891685562234,-16.381729125976562
16,0.2162837241212069,20.732608795166016
17,0.22037852562379306,4.905213356018066
18,0.2669285419961555,9.98190689086914
19,0.24470451534781174,24.294105529785156
20,0.2543392784927132,20.20882797241211
21,0.22907835762291445,15.686392784118652
22,0.2891730805592039,-12.22400951385498
23,0.25304659340141444,7.898453712463379
24,0.26660921073116345,15.334632873535156
25,0.23157380923573206,22.032276153564453
26,0.24258941137820805,8.658825874328613
27,0.2564703411325878,-2.433366060256958
28,0.24579957765718088,12.07425308227539
29,0.29498530186872307,12.649791717529297
30,0.23296591475705267,29.447195053100586
31,0.22798914914036494,-3.8094563484191895
32,0.25976731409933473,23.394601821899414
33,0.23312943808086334,16.332679748535156
34,0.288247731400159,10.059818267822266
35,0.27361873521076097,-16.641374588012695
36,0.30366016363436465,3.39221453666687
37,0.26878298922357247,12.421117782592773
38,0.2782591597501563,-6.507686614990234
39,0.285210596576457,14.840469360351562
40,0.29294318563245375,11.021509170532227
41,0.2535207413290332,4.251433372497559
42,0.32947234262088443,8.78449821472168
43,0.24201438298971883,0.5384745597839355
44,0.31304086051405067,-26.561433792114258
45,0.2712031855056739,-10.559881210327148
46,0.26137522061318375,-7.307831764221191
47,0.28062089538211366,2.1352486610412598
48,0.2878975132055018,19.580841064453125
49,0.2889439560062864,-0.3750648498535156
50,0.3606061055346143,0.32445287704467773
51,0.2811630369231278,-7.092479705810547
52,0.31752913702111496,10.532621383666992
53,0.2904721533902964,-0.707012414932251
54,0.3476885029798834,27.459402084350586
55,0.2944022633055683,30.26782989501953
56,0.3277224330970372,10.233259201049805
57,0.28274850495625103,17.361854553222656
58,0.3204119763876903,-7.23521614074707
59,0.33934701490841424,8.02340316772461
