generation,individual,fitness,last_train_return,body_file
0,0,0.0030730848618775175,0.008366634391968109,results\g0_i0_body.npy
0,1,0.000313518868028273,0.0015786165276922004,results\g0_i1_body.npy
0,2,0.006358446342204782,0.0036215624000391355,results\g0_i2_body.npy
1,0,0.006358446342204782,0.0036215624000391355,results\g1_i0_body.npy
1,1,0.00422493806321006,0.005070286712985372,results\g1_i1_body.npy
1,2,0.005890069260506503,0.002345466747465663,results\g1_i2_body.npy
