timesteps,mean_return,std_return,min_return,max_return,mean_steps,mean_displacement,mean_speed,mean_final_x,mean_max_x,mean_obstacles_cleared,mean_obstacle_fraction,success_rate
0,8.767419984034515,0.0,8.767419984034515,8.767419984034515,1200.0,2.878380128846779,0.002398650107372316,3.328380128846779,3.395967490144898,2.0,0.2857142857142857,0.0
5000,4.615397625074035,0.0,4.615397625074035,4.615397625074035,1200.0,1.541660185670164,0.0012847168213918033,1.991660185670164,2.1908535968724068,1.0,0.14285714285714285,0.0
10000,6.246027003211263,8.881784197001252e-16,6.246027003211262,6.246027003211262,1200.0,1.4376529893574912,0.0011980441577979096,1.8876529893574914,3.053334496923771,2.0,0.2857142857142857,0.0
15000,7.025633059902016,8.881784197001252e-16,7.025633059902015,7.025633059902015,1200.0,1.3472896962110588,0.0011227414135092156,1.7972896962110587,2.938923237104536,2.0,0.2857142857142857,0.0
20000,-0.09789711807957062,1.3877787807814457e-17,-0.0978971180795706,-0.0978971180795706,1200.0,-0.5752221393857442,-0.0004793517828214535,-0.12522213938574414,1.4195013378632566,0.0,0.0,0.0
25000,4.890511330516216,0.0,4.890511330516216,4.890511330516216,1200.0,1.2550554340329587,0.001045879528360799,1.7050554340329587,2.435865686346258,1.0,0.14285714285714285,0.0
30000,4.1805846776884765,0.0,4.1805846776884765,4.1805846776884765,1200.0,0.9594342206658122,0.0007995285172215102,1.4094342206658121,2.5078176526788107,1.0,0.14285714285714285,0.0
35000,5.297937988913013,0.0,5.297937988913013,5.297937988913013,1200.0,1.8278018421607884,0.001523168201800657,2.2778018421607884,2.4493801995176496,1.0,0.14285714285714285,0.0
40000,3.2720499245855255,0.0,3.2720499245855255,3.2720499245855255,1200.0,0.9897227209446807,0.0008247689341205671,1.4397227209446806,1.697597340802865,1.0,0.14285714285714285,0.0
45000,3.134176259277673,0.0,3.134176259277673,3.134176259277673,1200.0,0.5345645418446672,0.00044547045153722265,0.9845645418446672,2.2170067217153413,1.0,0.14285714285714285,0.0
50000,3.1699075440285776,4.440892098500626e-16,3.169907544028578,3.169907544028578,1200.0,0.7570480559783701,0.0006308733799819751,1.20704805597837,2.0904845296794927,1.0,0.14285714285714285,0.0
55000,7.658776154102785,0.0,7.658776154102785,7.658776154102785,1200.0,2.559382458495075,0.0021328187154125624,3.0093824584950752,3.1530524396651463,2.0,0.2857142857142857,0.0
60000,2.1373877380726896,0.0,2.1373877380726896,2.1373877380726896,1200.0,-0.22545940778878695,-0.00018788283982398913,0.22454059221121306,1.5134050533256762,1.0,0.14285714285714285,0.0
65000,0.9728273594029154,1.1102230246251565e-16,0.9728273594029153,0.9728273594029153,1200.0,0.7794834814312148,0.0006495695678593457,1.2294834814312148,1.2294834814312148,0.0,0.0,0.0
70000,1.0021891987974325,0.0,1.0021891987974325,1.0021891987974325,1200.0,0.7730728785683021,0.0006442273988069184,1.223072878568302,1.2257564237827745,0.0,0.0,0.0
75000,1.2174689583462053,0.0,1.2174689583462053,1.2174689583462053,1200.0,0.8708464196520005,0.0007257053497100003,1.3208464196520004,1.3381570313486713,0.0,0.0,0.0
80000,0.9433759786896143,0.0,0.9433759786896143,0.9433759786896143,1200.0,0.7460823326274367,0.0006217352771895307,1.1960823326274368,1.2458760178932409,0.0,0.0,0.0
85000,0.9594960710950065,0.0,0.9594960710950065,0.9594960710950065,1200.0,0.7581003341580455,0.0006317502784650379,1.2081003341580454,1.2553048235274644,0.0,0.0,0.0
90000,0.9092724758195772,0.0,0.9092724758195772,0.9092724758195772,1200.0,0.723365779399542,0.000602804816166285,1.173365779399542,1.1986898463997873,0.0,0.0,0.0
95000,0.8701618414149368,0.0,0.8701618414149368,0.8701618414149368,1200.0,0.692084282061073,0.0005767369017175608,1.1420842820610728,1.1620659479558986,0.0,0.0,0.0
100000,0.9692813059266143,0.0,0.9692813059266143,0.9692813059266143,1200.0,0.7727043028372259,0.0006439202523643549,1.2227043028372258,1.241394262473595,0.0,0.0,0.0
100352,1.0164462180112044,0.0,1.0164462180112044,1.0164462180112044,1200.0,0.7866340341991668,0.0006555283618326389,1.2366340341991666,1.268358566519268,0.0,0.0,0.0
